x	y
10000	20.4
20000	28.0
30000	38.8
40000	42.9
50000	46.3
60000	50.8
70000	58.9
80000	66.7
90000	72.2
100000	89.2
110000	86.8
120000	97.3
130000	104.5
140000	110.2
150000	131.4
160000	123.7
170000	133.1
180000	141.3
190000	145.7
200000	161.1
210000	159.5
220000	170.7
230000	196.5
240000	184.8
250000	202.8
260000	207.0
270000	224.5
280000	224.0
290000	235.0
300000	249.6
310000	237.6
320000	259.8
330000	262.4
340000	294.6
350000	269.8
360000	286.5
370000	303.4
380000	323.9
390000	329.6
400000	333.8
410000	328.6
420000	343.7
430000	356.0
440000	339.2
450000	361.3
460000	394.8
470000	373.4
480000	377.6
490000	388.0
500000	401.8
