x	y
10000	78.5
20000	80.1
30000	76.3
40000	76.5
50000	75.8
60000	75.9
70000	76.6
80000	77.0
90000	75.8
100000	91.0
110000	91.4
120000	92.2
130000	92.4
140000	91.0
150000	92.2
160000	90.8
170000	91.7
180000	90.7
190000	93.2
200000	91.4
210000	91.7
220000	90.1
230000	93.5
240000	91.7
250000	92.2
260000	91.8
270000	91.4
280000	91.3
290000	92.9
300000	92.1
310000	91.7
320000	92.8
330000	90.9
340000	93.4
350000	92.9
360000	91.8
370000	91.6
380000	93.7
390000	92.1
400000	92.5
410000	92.7
420000	91.7
430000	91.6
440000	91.0
450000	94.2
460000	91.2
470000	90.7
480000	92.4
490000	93.6
500000	93.0
