x	y1	y2
10000	20.4	78.5
20000	28.0	80.1
30000	38.8	76.3
40000	42.9	76.5
50000	46.3	75.8
60000	50.8	75.9
70000	58.9	76.6
80000	66.7	77.0
90000	72.2	75.8
100000	89.2	91.0
110000	86.8	91.4
120000	97.3	92.2
130000	104.5	92.4
140000	110.2	91.0
150000	131.4	92.2
160000	123.7	90.8
170000	133.1	91.7
180000	141.3	90.7
190000	145.7	93.2
200000	161.1	91.4
210000	159.5	91.7
220000	170.7	90.1
230000	196.5	93.5
240000	184.8	91.7
250000	202.8	92.2
260000	207.0	91.8
270000	224.5	91.4
280000	224.0	91.3
290000	235.0	92.9
300000	249.6	92.1
310000	237.6	91.7
320000	259.8	92.8
330000	262.4	90.9
340000	294.6	93.4
350000	269.8	92.9
360000	286.5	91.8
370000	303.4	91.6
380000	323.9	93.7
390000	329.6	92.1
400000	333.8	92.5
410000	328.6	92.7
420000	343.7	91.7
430000	356.0	91.6
440000	339.2	91.0
450000	361.3	94.2
460000	394.8	91.2
470000	373.4	90.7
480000	377.6	92.4
490000	388.0	93.6
500000	401.8	93.0
