x	y
20	3.18
40	5.47
60	8.28
80	10.55
100	13.60
121	15.73
141	18.61
161	23.06
181	23.69
201	26.82
221	29.00
242	32.11
262	35.64
282	42.62
302	39.49
322	41.62
343	45.66
363	49.07
383	54.94
403	54.57
423	55.84
443	58.59
464	64.06
484	66.96
504	68.00
524	72.75
544	77.37
565	74.97
585	78.74
605	84.00
625	85.21
645	89.06
665	92.98
686	94.00
706	99.64
726	97.20
746	104.56
766	103.55
787	107.66
807	109.41
827	114.67
847	115.54
867	120.79
887	120.76
908	128.01
928	125.83
948	132.26
968	131.62
988	137.25
